t x0 y0 x1 y1 x2 y2 vx0 vy0 vx1 vy1 vx2 vy2 
1.08 0.124104 0.0193942 1 0.501212 1.8759 0.0193942 0.198525 0.0454153 -1.15047e-16 0.409169 -0.198525 0.0454153 
1.09 0.126099 0.019854 1 0.505292 1.8739 0.019854 0.199549 0.0459788 -1.25733e-16 0.408042 -0.199549 0.0459788 
1.1 0.128105 0.0203194 1 0.509361 1.8719 0.0203194 0.200562 0.0465414 -1.35586e-16 0.406917 -0.200562 0.0465414 
1.11 0.13012 0.0207905 1 0.513419 1.86988 0.0207905 0.201563 0.0471028 -1.45439e-16 0.405794 -0.201563 0.0471028 
1.12 0.132146 0.0212671 1 0.517466 1.86785 0.0212671 0.202553 0.0476632 -1.5557e-16 0.404674 -0.202553 0.0476632 
1.13 0.134181 0.0217493 1 0.521501 1.86582 0.0217493 0.203531 0.0482224 -1.65146e-16 0.403555 -0.203531 0.0482224 
1.14 0.136226 0.0222371 1 0.525526 1.86377 0.0222371 0.204497 0.0487804 -1.74583e-16 0.402439 -0.204497 0.0487804 
1.15 0.138281 0.0227305 1 0.529539 1.86172 0.0227305 0.205453 0.0493373 -1.85824e-16 0.401325 -0.205453 0.0493373 
1.16 0.140345 0.0232294 1 0.533541 1.85966 0.0232294 0.206398 0.0498929 -1.93179e-16 0.400214 -0.206398 0.0498929 
1.17 0.142418 0.0237339 1 0.537532 1.85758 0.0237339 0.207332 0.0504472 -1.98452e-16 0.399106 -0.207332 0.0504472 
1.18 0.144501 0.0242439 1 0.541512 1.8555 0.0242439 0.208255 0.0510002 -2.02338e-16 0.398 -0.208255 0.0510002 
1.19 0.146592 0.0247594 1 0.545481 1.85341 0.0247594 0.209167 0.0515519 -2.05946e-16 0.396896 -0.209167 0.0515519 
1.2 0.148693 0.0252804 1 0.549439 1.85131 0.0252804 0.210069 0.0521022 -2.0775e-16 0.395796 -0.210069 0.0521022 
1.21 0.150803 0.0258069 1 0.553386 1.8492 0.0258069 0.210961 0.0526511 -2.11636e-16 0.394698 -0.210961 0.0526511 
1.22 0.152921 0.0263389 1 0.557322 1.84708 0.0263389 0.211842 0.0531987 -2.14828e-16 0.393603 -0.211842 0.0531987 
1.23 0.155048 0.0268764 1 0.561247 1.84495 0.0268764 0.212713 0.0537448 -2.17742e-16 0.39251 -0.212713 0.0537448 
1.24 0.157184 0.0274193 1 0.565161 1.84282 0.0274193 0.213574 0.0542894 -2.17049e-16 0.391421 -0.213574 0.0542894 
1.25 0.159328 0.0279676 1 0.569065 1.84067 0.0279676 0.214426 0.0548326 -2.20518e-16 0.390335 -0.214426 0.0548326 
1.26 0.161481 0.0285213 1 0.572957 1.83852 0.0285213 0.215267 0.0553742 -2.22461e-16 0.389252 -0.215267 0.0553742 
1.27 0.163642 0.0290805 1 0.576839 1.83636 0.0290805 0.216099 0.0559144 -2.23571e-16 0.388171 -0.216099 0.0559144 
1.28 0.165811 0.029645 1 0.58071 1.83419 0.029645 0.216921 0.056453 -2.24543e-16 0.387094 -0.216921 0.056453 
1.29 0.167988 0.0302149 1 0.58457 1.83201 0.0302149 0.217734 0.05699 -2.27596e-16 0.38602 -0.217734 0.05699 
1.3 0.170174 0.0307902 1 0.58842 1.82983 0.0307902 0.218538 0.0575255 -2.26624e-16 0.384949 -0.218538 0.0575255 
1.31 0.172367 0.0313708 1 0.592258 1.82763 0.0313708 0.219333 0.0580594 -2.35229e-16 0.383881 -0.219333 0.0580594 
1.32 0.174568 0.0319567 1 0.596087 1.82543 0.0319567 0.220118 0.0585917 -2.42167e-16 0.382817 -0.220118 0.0585917 
1.33 0.176777 0.0325479 1 0.599904 1.82322 0.0325479 0.220894 0.0591223 -2.48274e-16 0.381755 -0.220894 0.0591223 
1.34 0.178994 0.0331444 1 0.603711 1.82101 0.0331444 0.221662 0.0596514 -2.54796e-16 0.380697 -0.221662 0.0596514 
1.35 0.181218 0.0337462 1 0.607508 1.81878 0.0337462 0.222421 0.0601787 -2.57433e-16 0.379643 -0.222421 0.0601787 
1.36 0.18345 0.0343532 1 0.611294 1.81655 0.0343532 0.223171 0.0607045 -2.59931e-16 0.378591 -0.223171 0.0607045 
1.37 0.185689 0.0349655 1 0.615069 1.81431 0.0349655 0.223913 0.0612285 -2.62568e-16 0.377543 -0.223913 0.0612285 
1.38 0.187935 0.035583 1 0.618834 1.81206 0.035583 0.224646 0.0617509 -2.65066e-16 0.376498 -0.224646 0.0617509 
1.39 0.190189 0.0362058 1 0.622588 1.80981 0.0362058 0.225371 0.0622716 -2.69229e-16 0.375457 -0.225371 0.0622716 
1.4 0.19245 0.0368337 1 0.626333 1.80755 0.0368337 0.226088 0.0627907 -2.71588e-16 0.374419 -0.226088 0.0627907 
1.41 0.194718 0.0374667 1 0.630067 1.80528 0.0374667 0.226797 0.063308 -2.72005e-16 0.373384 -0.226797 0.063308 
1.42 0.196993 0.038105 1 0.63379 1.80301 0.038105 0.227497 0.0638236 -2.74641e-16 0.372353 -0.227497 0.0638236 
1.43 0.199275 0.0387484 1 0.637503 1.80073 0.0387484 0.22819 0.0643375 -2.82968e-16 0.371325 -0.22819 0.0643375 
1.44 0.201563 0.0393968 1 0.641206 1.79844 0.0393968 0.228875 0.0648496 -2.85605e-16 0.370301 -0.228875 0.0648496 
1.45 0.203859 0.0400504 1 0.644899 1.79614 0.0400504 0.229552 0.06536 -2.9185e-16 0.36928 -0.229552 0.06536 
1.46 0.206161 0.0407091 1 0.648582 1.79384 0.0407091 0.230222 0.0658687 -2.97679e-16 0.368263 -0.230222 0.0658687 
1.47 0.20847 0.0413729 1 0.652254 1.79153 0.0413729 0.230884 0.0663757 -3.03091e-16 0.367249 -0.230884 0.0663757 
1.48 0.210785 0.0420417 1 0.655917 1.78921 0.0420417 0.231538 0.0668809 -3.1225e-16 0.366238 -0.231538 0.0668809 
1.49 0.213107 0.0427155 1 0.659569 1.78689 0.0427155 0.232186 0.0673844 -3.29459e-16 0.365231 -0.232186 0.0673844 
1.5 0.215435 0.0433944 1 0.663211 1.78456 0.0433944 0.232826 0.0678861 -3.42781e-16 0.364228 -0.232826 0.0678861 
1.51 0.21777 0.0440783 1 0.666843 1.78223 0.0440783 0.233458 0.0683861 -3.55271e-16 0.363228 -0.233458 0.0683861 
1.52 0.220111 0.0447671 1 0.670466 1.77989 0.0447671 0.234084 0.0688843 -3.71508e-16 0.362231 -0.234084 0.0688843 
1.53 0.222458 0.0454609 1 0.674078 1.77754 0.0454609 0.234703 0.0693808 -3.87537e-16 0.361238 -0.234703 0.0693808 
1.54 0.224811 0.0461597 1 0.677681 1.77519 0.0461597 0.235315 0.0698755 -3.97737e-16 0.360249 -0.235315 0.0698755 
1.55 0.22717 0.0468634 1 0.681273 1.77283 0.0468634 0.23592 0.0703684 -4.10089e-16 0.359263 -0.23592 0.0703684 
1.56 0.229535 0.047572 1 0.684856 1.77046 0.047572 0.236518 0.0708596 -4.18277e-16 0.358281 -0.236518 0.0708596 
1.57 0.231907 0.0482854 1 0.688429 1.76809 0.0482854 0.23711 0.0713491 -4.24938e-16 0.357302 -0.23711 0.0713491 
1.58 0.234284 0.0490038 1 0.691992 1.76572 0.0490038 0.237695 0.0718368 -4.27575e-16 0.356326 -0.237695 0.0718368 
1.59 0.236666 0.049727 1 0.695546 1.76333 0.049727 0.238274 0.0723227 -4.29795e-16 0.355355 -0.238274 0.0723227 
1.6 0.239055 0.0504551 1 0.69909 1.76095 0.0504551 0.238846 0.0728069 -4.30489e-16 0.354386 -0.238846 0.0728069 
1.61 0.241449 0.051188 1 0.702624 1.75855 0.051188 0.239412 0.0732893 -4.30628e-16 0.353421 -0.239412 0.0732893 
1.62 0.243849 0.0519257 1 0.706149 1.75615 0.0519257 0.239972 0.07377 -4.27158e-16 0.35246 -0.239972 0.07377 
1.63 0.246254 0.0526682 1 0.709664 1.75375 0.0526682 0.240526 0.0742489 -4.29587e-16 0.351502 -0.240526 0.0742489 
1.64 0.248665 0.0534155 1 0.713169 1.75134 0.0534155 0.241073 0.0747261 -4.32085e-16 0.350548 -0.241073 0.0747261 
1.65 0.251081 0.0541675 1 0.716665 1.74892 0.0541675 0.241615 0.0752016 -4.39718e-16 0.349597 -0.241615 0.0752016 
1.66 0.253502 0.0549242 1 0.720152 1.7465 0.0549242 0.24215 0.0756753 -4.42008e-16 0.348649 -0.24215 0.0756753 
1.67 0.255929 0.0556857 1 0.723629 1.74407 0.0556857 0.24268 0.0761473 -4.44297e-16 0.347705 -0.24268 0.0761473 
1.68 0.258361 0.0564519 1 0.727096 1.74164 0.0564519 0.243204 0.0766176 -4.44297e-16 0.346765 -0.243204 0.0766176 
1.69 0.260798 0.0572227 1 0.730555 1.7392 0.0572227 0.243722 0.0770861 -4.48391e-16 0.345828 -0.243722 0.0770861 
1.7 0.263241 0.0579983 1 0.734003 1.73676 0.0579983 0.244234 0.077553 -4.50126e-16 0.344894 -0.244234 0.077553 
1.71 0.265688 0.0587784 1 0.737443 1.73431 0.0587784 0.244741 0.0780181 -4.52416e-16 0.343964 -0.244741 0.0780181 
1.72 0.26814 0.0595633 1 0.740873 1.73186 0.0595633 0.245243 0.0784815 -4.54428e-16 0.343037 -0.245243 0.0784815 
1.73 0.270598 0.0603527 1 0.744295 1.7294 0.0603527 0.245738 0.0789432 -4.54775e-16 0.342114 -0.245738 0.0789432 
1.74 0.27306 0.0611467 1 0.747707 1.72694 0.0611467 0.246229 0.0794032 -4.57134e-16 0.341194 -0.246229 0.0794032 
1.75 0.275527 0.0619453 1 0.751109 1.72447 0.0619453 0.246714 0.0798615 -4.55816e-16 0.340277 -0.246714 0.0798615 
1.76 0.277999 0.0627485 1 0.754503 1.722 0.0627485 0.247194 0.0803181 -4.54359e-16 0.339364 -0.247194 0.0803181 
1.77 0.280476 0.0635562 1 0.757888 1.71952 0.0635562 0.247669 0.0807731 -4.52902e-16 0.338454 -0.247669 0.0807731 
1.78 0.282957 0.0643685 1 0.761263 1.71704 0.0643685 0.248139 0.0812264 -4.45408e-16 0.337547 -0.248139 0.0812264 
1.79 0.285443 0.0651853 1 0.764629 1.71456 0.0651853 0.248604 0.081678 -4.38399e-16 0.336644 -0.248604 0.081678 
1.8 0.287934 0.0660066 1 0.767987 1.71207 0.0660066 0.249063 0.082128 -4.31391e-16 0.335744 -0.249063 0.082128 
1.81 0.290429 0.0668323 1 0.771335 1.70957 0.0668323 0.249518 0.0825763 -4.20705e-16 0.334847 -0.249518 0.0825763 
1.82 0.292929 0.0676626 1 0.774675 1.70707 0.0676626 0.249968 0.0830229 -4.0884e-16 0.333954 -0.249968 0.0830229 
1.83 0.295433 0.0684972 1 0.778006 1.70457 0.0684972 0.250413 0.083468 -3.98917e-16 0.333064 -0.250413 0.083468 
1.84 0.297941 0.0693364 1 0.781327 1.70206 0.0693364 0.250853 0.0839114 -3.86982e-16 0.332177 -0.250853 0.0839114 
1.85 0.300454 0.0701799 1 0.78464 1.69955 0.0701799 0.251289 0.0843532 -3.75255e-16 0.331294 -0.251289 0.0843532 
1.86 0.302972 0.0710278 1 0.787944 1.69703 0.0710278 0.25172 0.0847934 -3.65957e-16 0.330413 -0.25172 0.0847934 
1.87 0.305493 0.0718801 1 0.79124 1.69451 0.0718801 0.252146 0.0852319 -3.52982e-16 0.329536 -0.252146 0.0852319 
1.88 0.308019 0.0727368 1 0.794526 1.69198 0.0727368 0.252568 0.0856689 -3.42504e-16 0.328662 -0.252568 0.0856689 
1.89 0.310549 0.0735979 1 0.797804 1.68945 0.0735979 0.252986 0.0861043 -3.31818e-16 0.327791 -0.252986 0.0861043 
1.9 0.313083 0.0744633 1 0.801073 1.68692 0.0744633 0.253399 0.0865381 -3.23908e-16 0.326924 -0.253399 0.0865381 
1.91 0.315621 0.075333 1 0.804334 1.68438 0.075333 0.253807 0.0869704 -3.13846e-16 0.326059 -0.253807 0.0869704 
